Best Amenity Scored,lat,lon,amenity,name,distance
86,49.2848065,-123.1143227,cafe,Trees Coffee,821.5345084361794
87,49.2847372,-123.1144476,cafe,Creme de la Crumb,809.855940695961
88,49.2814148,-123.1194673,cafe,Café Crêpe,396.3148643292126
89,49.2764454,-123.1195159,restaurant,Tacofino,769.1952114259254
90,49.2763998,-123.1196013,restaurant,West Oak,770.4237249794459
91,49.2760414,-123.1196355,cafe,Chasers,804.4617154799347
92,49.2759204,-123.1203048,restaurant,Wild Tale,794.4850009062371
93,49.2756829,-123.120168,cafe,Lime & Moon Pie Company,822.9720816671563
94,49.278575,-123.1141123,restaurant,Fanny Bay Oyster Bar,907.7216717205991
95,49.2762885,-123.1197566,restaurant,The Greek by Anatoli,775.6895165035754
96,49.2764887,-123.1189668,fast_food,Subway,786.8739522336313
97,49.2764101,-123.1190813,cafe,Coffee House,789.6366778847291
98,49.2898003,-123.1168924,pub,Tap & Barrel,998.1177313329243
99,49.2790349,-123.1235947,bar,Johnnie Fox's,388.12689761125716
100,49.2861774,-123.1269715,cafe,Blenz,460.1612775966049
101,49.2870382,-123.1181012,cafe,Blenz Coffee,700.490227208522
102,49.2807848,-123.124856,fast_food,The Alley,194.52907513044076
103,49.2815126,-123.1201536,bicycle_rental,Robson & Granville,341.9245409388712
104,49.2837396,-123.1184966,bar,Prohibition,474.5527342584217
105,49.2888741,-123.13173,restaurant,Sura Korean,917.3006348784583
106,49.2833353,-123.1174336,fast_food,Opa! Of Greece,545.0326696513052
107,49.2740786,-123.1213858,fast_food,Loving Hut Express food van,962.6555491674168
108,49.2846042,-123.1245931,cafe,Starbucks,236.20267414167606
109,49.2886688,-123.1182129,bicycle_rental,Shaw Tower,835.8061102870979
110,49.281865,-123.1329789,clinic,Bute Street Clinic,682.1236430192002
111,49.2820425,-123.1330451,bicycle_rental,Bute & Davie,685.559233827869
112,49.2861746,-123.1169768,restaurant,The Butcher & Bullock,704.0783923962099
113,49.2799921,-123.1197031,bar,Hollywood North,454.2285357043888
114,49.2772057,-123.1265215,fast_food,Numero Uno Pizza,612.7198149936665
115,49.2789586,-123.1212246,cafe,Starbucks,460.44421807961436
116,49.2783848,-123.1220442,cafe,Nero Belgian Waffle Bar,489.3644816250563
117,49.277516,-123.1270838,fast_food,Sushi Howe,594.3672855574071
118,49.2834485,-123.1221671,pharmacy,Shoppers Drug Mart,197.91504466762882
119,49.2803131,-123.1216797,pub,Cinema Public House,317.11971569091133
120,49.2818072,-123.1240096,restaurant,Kamei Baru,79.24627992703437
121,49.2801553,-123.1209311,fast_food,Pizza Garden,369.8311140536077
122,49.2817082,-123.1238709,restaurant,Pacifico,93.18153744433403
123,49.2794471,-123.1300198,fast_food,Donair King,560.7811106978083
124,49.2829389,-123.115118,bar,Railway Club,719.6488016339009
125,49.2784178,-123.1182179,cafe,Homer St Cafe and Bar,656.6283054517686
126,49.2802018,-123.1306708,restaurant,Kadoya,559.3269934171184
127,49.2802263,-123.1307093,fast_food,Fat Burger,560.7813242376343
128,49.2772339,-123.1296372,bicycle_rental,Drake & Hornby,718.1288702192271
129,49.2759064,-123.1278016,pub,Yale Hotel,781.5778974795061
130,49.2877451,-123.1206603,restaurant,Le Petit Crêpe,649.9572297083637
131,49.288332,-123.1225965,restaurant,Panago Pizza,663.1159060347591
132,49.2871644,-123.1197099,fast_food,Quiznos,631.6397507958096
133,49.2874987,-123.1233065,restaurant,Tableau,562.3334190958252
134,49.2872861,-123.1235682,restaurant,Domo Sushi,536.3628070804145
135,49.2882295,-123.1233339,cafe,Waves Coffee House,642.6582918384939
136,49.279512,-123.1204403,bar,Uva,448.0165753970932
137,49.27993,-123.1275716,restaurant,Burgoo,382.7011417717117
138,49.2767582,-123.1201461,bar,Fayuca,715.3215742016829
139,49.2766247,-123.119889,restaurant,Pierre's,737.7585311274657
140,49.2764587,-123.1205881,clinic,Mainland Clinic,730.748094775141
141,49.2761259,-123.1206022,restaurant,Wild Tale,764.4336816818775
142,49.2802382,-123.1232584,cafe,Railtown Cafe,263.29964483189474
143,49.2798153,-123.1236381,restaurant,Freshii,301.8819223240125
144,49.2737081,-123.1234743,restaurant,Ki Isu Japanese Restaurant,978.6341971849616
145,49.2737767,-123.1232261,restaurant,Little Saigon Yaletown,972.5057812995382
146,49.2873005,-123.1283864,restaurant,Koyuki Sapporo Ramen,623.0660066553457
147,49.2859301,-123.1182815,cafe,Blenz Coffee,606.4396516876642
148,49.2859297,-123.119391,bank,BMO Bank of Montreal,541.86184858532
149,49.2873653,-123.1287891,cafe,Bubble World Tea House,645.8206451737843
150,49.2862733,-123.127097,bank,Scotiabank,474.13338616900654
151,49.2876362,-123.1272215,bicycle_rental,Alberni & Jervis,616.141192302024
152,49.2866651,-123.11834,restaurant,JOEY Bentall One,657.7937533860778
153,49.2805588,-123.1169062,cafe,Cafe Medina,616.6863726627826
154,49.2790584,-123.1230287,bar,The Belmont,394.30992423942706
155,49.2792503,-123.1194358,pharmacy,Sina,523.8375430536883
156,49.2809406,-123.1269099,cafe,Beyond Coffee,267.0616089829289
157,49.2789073,-123.1221767,fast_food,Uncle Fatih's Pizza,431.58360920036273
158,49.2810223,-123.1189956,restaurant,Meat & Bread,445.68600232695485
159,49.280548,-123.1213662,fast_food,McDonald's,315.0338051857515
160,49.280963,-123.1189157,restaurant,Aladdin Cafe,453.9298535126759
161,49.28109,-123.1190968,fast_food,Five Guys,435.58613094784795
